Time[ms], Pos[mm]
0,NaN
78,-0.625
109,-0.625
141,-0.625
187,-0.3125
219,-0.625
344,-0.625
391,-0.625
422,-0.41666746
453,0
500,0
531,0
562,-0.52083254
609,0
641,0
672,0
719,0
750,-0.41666746
781,0
812,0
859,0
891,0
937,0
969,0
1000,0
1062,0
1094,0
1125,0
1172,0
1203,0
1250,0
1281,0
1328,0.20833254
1359,0.20833254
1391,0
1453,0
1484,0
1516,0
1562,0
1594,0
1625,0
1672,-0.20833254
1703,-0.41666746
1766,-0.10416746
1812,0
1875,0
1906,0
1969,0
2031,-0.625
2062,-0.41666746
2109,0
2141,-0.41666746
2172,-0.44642925
2219,0
2266,0
2297,0
2328,0
2375,-0.625
2406,-0.625
2437,0
2484,-0.52083254
2531,-0.625
2562,0
2594,-0.3125
2641,-0.3125
2672,0
2719,0
2750,-0.10416746
2812,0
2844,0
2906,0
2953,0
2984,-0.390625
3016,0
3062,0
3125,-0.20833254
3156,-0.20833254
3203,-0.41666746
3234,0
3312,0
3359,0
3391,0
3437,0
3469,0
3516,0
3547,0
3578,0
3625,0
3656,0
3703,-0.3125
3750,0
3797,0
3844,0
3875,0
3922,0
3969,0
4016,-0.41666746
4047,-0.10416746
4109,-0.10416746
4141,0
4203,-0.20833254
4234,-0.20833254
4281,0
4312,0
4344,-0.3125
4391,-0.52083254
4422,0
4469,0
4516,0
4562,-0.625
4609,-0.41666746
4656,-0.20833254
4703,0
4750,0
4797,0
4828,-0.10416746
4875,0
4922,0
4969,-0.625
5031,-0.52083254
5062,0
5125,0
5156,-0.52083254
5187,-0.52083254
5234,0
5281,0
5328,0
5375,-0.20833254
5406,0
5437,0
5484,0
5516,0
5562,-0.52083254
5609,-0.26785612
5641,-0.20833254
5687,-0.20833254
5719,0
5766,0
5797,0
5844,0
5922,0
5969,0
6031,0
6078,0
6141,0
6187,0
6266,0
6297,0
6344,0
6391,0
6453,0
6484,0
6547,0
6578,0
6609,0
6641,0
6703,0
6719,0
6797,0
6844,-0.20833254
6891,0
6922,-0.20833254
6984,-0.20833254
7016,0
7062,0
7125,0
7156,0
7187,-0.10416746
7234,-0.10416746
7281,0
7328,0
7359,0
7391,0
7453,0
7484,0
7547,0
7594,0
7625,0
7672,-0.625
7703,0
7734,0
7766,0
7828,0
7859,-0.20833254
7906,0
7953,0
8000,0
8031,0
8078,0
8125,-0.20833254
8156,-0.20833254
8187,-0.3125
8234,0
8281,0
8312,0
8359,-0.3125
8391,0
8422,0
8469,-0.10416746
8516,0
8562,0
8594,-0.41666746
8625,-0.41666746
8656,0
8703,0
8734,-0.20833254
8766,-0.20833254
8812,-0.20833254
8844,0
8875,0.3125
8922,0.3125
8969,0
9000,-0.37499905
9031,0
9078,0
9109,0
9156,0
9219,0
9250,0
9281,-0.41666746
9328,-0.41666746
9375,0
9422,-0.3125
9453,0
9516,0
9562,0
9594,-0.3125
9656,0
9687,0
9734,0
9781,0
9812,0
9844,0
9891,0
9922,0
9969,0
10000,0
10031,-0.10416746
10078,-0.26785612
10109,-0.26785612
10141,0
10172,0
10219,0
10250,-0.20833254
10281,0
10328,0
10359,-0.10416746
10422,-0.10416746
10453,-0.52083254
10500,0
10547,0
10594,0
10641,0
10672,0
10703,0
10750,-0.10416746
10781,0
10812,-0.20833254
10891,0
10922,0
10984,0
11016,-0.625
11062,-1.7708325
11094,-2.7083325
11125,-5
11156,-6.875
11203,-8.333332
11234,-9.464285
11297,-9.464285
11328,-1.0416675
11375,-1.8181825
11406,-4.53125
11453,-5.5208325
11484,-1.6666675
11516,-1.6666675
11562,5.9375
11625,-6.085527
11656,3.229165
11703,0.9375
11734,-1.0416675
11766,-4.618056
11797,-4.618056
11844,-8.923612
11875,-8.923612
11922,-13.993055
11969,-13.993055
12000,-13.4375
12062,-13.4375
12109,-14.0625
12141,-15.208332
12187,-14.53125
12250,-14.53125
12281,-16.5625
12344,-16.5625
12406,-18.125
12437,-16.875
12469,-17.1875
12500,-17.1875
12547,-16.875
12578,-14.6875
12609,-14.375
12641,-13.333332
12687,-14.548612
12734,-12.430555
12766,-9.826388
12797,-8.333332
12844,-6.875
12891,-6.875
12922,-3.9583325
12953,-3.9583325
13000,-2.2916675
13062,-2.2916675
13109,-0.6597233
13156,1.9097233
13203,1.8055558
13266,1.7361116
13297,1.3750005
13328,0.52083254
13375,-0.42763233
13422,-1.0416675
13453,-1.25
13500,-1.5460515
13531,-1.875
13594,-0.9722233
13625,0.48611164
13656,0.48611164
13687,1.25
13734,0.625
13766,0.625
13828,0.625
13875,1.0416675
13937,0.5555558
13984,0.625
14031,1.5972233
14062,1.0416675
14094,0.83333254
14141,1.4583325
14172,0.83333254
14203,0.6944442
14250,0.6944442
14297,0.6944442
14328,1.4236116
14359,1.0416675
14406,1.0416675
14453,0.52083254
14500,0.72916746
14531,0.625
14562,1.25
14609,1.0069442
14656,0.625
14687,1.0526323
14766,0.625
14797,0.5555558
14828,0.5555558
14875,0.48611164
14906,1.4583325
14953,0.83333254
14984,0.83333254
15016,0.8680558
15078,0.83333254
15125,0.625
15156,0.625
15234,0.41666746
15281,0.625
15312,0.6944442
15359,0.6944442
15406,0.5555558
15437,0.5555558
15484,0.625
15531,0.83333254
15578,0.6597233
15625,0.5555558
15656,0.41666746
15719,0.625
15766,0.625
15828,0.41666746
15859,0.41666746
15906,0.41666746
15953,0.41666746
15984,0.41666746
16047,0.41666746
16078,0.41666746
16141,0.41666746
16172,0.41666746
16234,0.5555558
16281,0.41666746
16312,0.41666746
16375,0.41666746
16406,0.34722328
16437,0.38194418
16484,0.38194418
16516,0.38194418
16562,0.27777672
16594,0.41666746
16656,0.41666746
16703,0.52083254
16781,0.45138836
16812,0.41666746
16844,0.41666746
16906,0.41666746
16953,0.24305582
17000,0.48611164
17031,0.20833254
17094,0.20833254
17125,0.20833254
17172,0.20833254
17219,0.41666746
17250,0.41666746
17281,0.24305582
17328,0.41666746
17375,0.20833254
17422,0.20833254
17484,0.3125
17531,0.20833254
17578,0.20833254
17609,0.27777672
17656,0.17361164
17719,0.20833254
17750,0
17781,0
17844,0.03472328
17891,0
17937,0.03472328
17969,0.20833254
18016,0
18047,-0.03472328
18094,-0.03472328
18125,0
18156,0
18203,0
18250,0
18281,0
18344,0
18375,0
18422,0
18453,0
18500,0
18531,0
18578,0
18625,0
18656,0
18703,0
18734,0
18766,-0.10416746
18812,-0.10416746
18859,0
18891,-0.10416746
18953,0
18984,0
19016,0
19062,0
19094,-0.06944417999999999
19141,0
19172,0
19203,0
19250,0
19297,-0.06944417999999999
19344,0
19375,0
19406,0
19453,0
19484,0
19531,0
19578,0
19625,0
19656,0
19703,0
19734,0
19766,0
19812,0
19844,0.06944417999999999
19891,0.13888836
19922,0.20833254
19953,0.20833254
20000,0.20833254
20031,0.20833254
20078,0.20833254
20109,0.10416746
20141,0.10416746
20172,0.20833254
20219,0.20833254
20281,0.20833254
